job_id,contract_no,wa_number,service_id,wa_status,initiation_date,wa_estimate_cost,job_start_date,job_end_date,rfp_no,rfp_date,amount_invoiced,amount_received,date_on_check,date_check_received,billing_status
22-029,CT-002,1129904,85451,Closed,2022-07-12,9700.00,2022-07-07,2022-07-16,305,2025-12-09,3108.44,3108.44,2025-12-28,2025-12-30,PAID
24-114,CT-002,1315970,93632,Closed,2024-10-10,575.00,2024-10-18,2024-10-19,202,2025-06-17,4759.59,4759.59,2025-08-07,2025-09-02,PAID
22-079,CT-002,1157908,86933,Closed,2022-12-15,3200.00,2022-12-15,2022-12-16,312,2026-01-16,1867.45,1867.45,2026-03-20,2026-03-30,PAID
23-056,CT-002,1187909,88731,Closed,2023-07-13,7875.00,2023-07-13,2023-07-14,224,2025-07-07,2628.23,2628.23,2025-08-07,2025-09-18,PAID
25-010,CT-002,1334935,94758,Closed,2025-02-07,39440.45,2025-02-08,2025-04-13,319,2026-03-19,39440.45,39440.45,2026-05-24,2026-06-04,PAID
