BuildingID,Project _D,Project Descriptio,ServiceID,ServiceName,InitiationDate,PrimaryHygienist,WA_Number,ContractNo,RFPNo,IsFinal,RFP_Status,RFP_Status_Date,eRFP_Status,eRFP_Status_Date
M180,141149,PO18-ABATEMENT OF PIPE INSULATION ENTRANCE OF BOILER RM WE ARE GOING TO NEED APPROXIMATELY 10' OF CO,93632,PO 18 Asbestos Service,2024-10-08,"Lazicki, Rafal",1315970,C000015869,202,1,Check Issued,2025-08-19,Closed,2025-08-19
R455,135678,PO18-ASSIST PLUMBERS: OPEN A 3FT X 8FT CIELING SPRAYED IN RED. ALSO REMOVE ALL LOOSE ACM IN CIELING,88731,PO 18 Asbestos Service,2023-07-13,"Bracamonte, Jesus",1187909,C000015869,224,1,Check Issued,2025-08-19,Closed,2025-08-19
K014,P026159,RESO A AUDITORIUM UPGRADE,85451,LAP Construction Phase Services,2022-06-29,"Clyne, Sean",1129904,C000015869,305,1,Check Issued,2025-12-27,Closed,2025-12-27
Q189,133460,"PO18-05/25Q189/ BOILER #3 ABATE 1 SQUARE FOOT OF ACM, SPRAYED IN GREEN",86933,PO 18 Asbestos Service,2022-12-15,"Kondilis, Milton",1157908,C000015869,312,1,Check Issued,2026-03-19,Closed,2026-03-19
X107,141770,"PO18-ABATE AND REPAIR DAMAGED PIPE INSULATION 1000, 3218 ABATE AND REPLACE FLOOR TILES 1001S, 2106,",94758,PO 18 Asbestos Service,2025-02-07,"Bracamonte, Jesus",1334935,C000015869,319,1,Check Issued,2026-05-23,Closed,2026-05-23
