Building Id,Building Name,Building Address,Project ID,Project Name,Project Type,Service ID,Service Name,Service Initiation Date,Priority,Primary Hygienist,Contract_No,WA_No,WA Type,Date WA Issued,WA Status,Status Date,Original WA Amt,Current Approved Amt,Proposed Amendment Amt,WA_Total_Amt
X107,P.S. 107 - BRONX,1695 SEWARD AVENUE,141770,"PO18-ABATE AND REPAIR DAMAGED PIPE INSULATION 1000, 3218 ABATE AND REPLACE FLOOR TILES 1001S, 2106,",CIP,94758,PO 18 Asbestos Service,2025-02-07,Emergency,"Bracamonte, Jesus",C000015869,1334935,RFA,2025-02-07,Closed,2026-05-23,575.00,39440.45,0.00,39440.45
M180,P.S. 180 - MANHATTAN,370 WEST 120 STREET,141149,PO18-ABATEMENT OF PIPE INSULATION ENTRANCE OF BOILER RM WE ARE GOING TO NEED APPROXIMATELY 10' OF CO,CIP,93632,PO 18 Asbestos Service,2024-10-08,Emergency,"Lazicki, Rafal",C000015869,1315970,RFA,2024-10-10,Closed,2025-08-19,575.00,4759.59,0.00,4759.59
R455,TOTTENVILLE HS - STATEN ISLAND,100 LUTEN AVENUE,135678,PO18-ASSIST PLUMBERS: OPEN A 3FT X 8FT CIELING SPRAYED IN RED. ALSO REMOVE ALL LOOSE ACM IN CIELING,CIP,88731,PO 18 Asbestos Service,2023-07-13,Emergency,"Bracamonte, Jesus",C000015869,1187909,RFA,2023-07-13,Closed,2025-08-19,7875.00,2628.23,0.00,2628.23
Q189,J.H.S. 189 - QUEENS,144-80 BARCLAY AVENUE,133460,"PO18-05/25Q189/ BOILER #3 ABATE 1 SQUARE FOOT OF ACM, SPRAYED IN GREEN",CIP,86933,PO 18 Asbestos Service,2022-12-15,Emergency,"Kondilis, Milton",C000015869,1157908,RFA,2022-12-15,Closed,2026-03-19,3200.00,1867.45,0.00,1867.45
K014,I.S. 14 - BROOKLYN,2424 BATCHELDER STREET,P026159,RESO A AUDITORIUM UPGRADE,CIP,85451,LAP Construction Phase Services,2022-06-29,Normal,"Clyne, Sean",C000015869,1129904,RFA,2022-07-07,Closed,2025-12-27,9700.00,3108.44,0.00,3108.44
